sheet	row	values
Fluxo	6	||||Etapa|Emitir REQ|Enviar ferramenta para ferramentaria|Imprimir Ficha de Manutenção|Juntar Ficha na ferramenta|Fazer manutenção
Fluxo	7	||||OBS:|Site CEVA||Deixar na ferramentaria||Conforme Ficha
Tabela de verificações	1	|procura|Sufixo|Item|Tipo da lâmina|Descrição do Item para Verificação|Meta N de Golpes
Tabela de verificações	2	|=D2&E2|0004|1|BLANK SEGMENTADO PARA ESTATOR|Matrizes entalhes de solda - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	3	|=D3&E3|0004|=D2+1|BLANK SEGMENTADO PARA ESTATOR|Punções entalhes de solda - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	4	|=D4&E4|0004|=D3+1|BLANK SEGMENTADO PARA ESTATOR|Matriz corte externo - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	5	|=D5&E5|0004|=D4+1|BLANK SEGMENTADO PARA ESTATOR|Punção corte externo - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	6	|=D6&E6|0004|=D5+1|BLANK SEGMENTADO PARA ESTATOR|Matriz retalhadora - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	7	|=D7&E7|0004|=D6+1|BLANK SEGMENTADO PARA ESTATOR|Punção retalhador - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	8	|=D8&E8|0004|=D7+1|BLANK SEGMENTADO PARA ESTATOR|Colares de esferas - Verificar deformação esferas, sulcos e folgas|50000
Tabela de verificações	9	|=D9&E9|0004|=D8+1|BLANK SEGMENTADO PARA ESTATOR|Colunas - Verificar estrias, alinhamento e folga|100000
Tabela de verificações	10	|=D10&E10|0004|=D9+1|BLANK SEGMENTADO PARA ESTATOR|Buchas - Verificar estrias, alinhamento e folga|100000
Tabela de verificações	11	|=D11&E11|0004|=D10+1|BLANK SEGMENTADO PARA ESTATOR|Folga de corte - Verificar com papel|25000
Tabela de verificações	12	|=D12&E12|0004|=D11+1|BLANK SEGMENTADO PARA ESTATOR|Bases - Verificar paralelismo e condições das roscas e alojamentos, normalizar e retificar se necessário|500000
Tabela de verificações	13	|=D13&E13|0004|=D12+1|BLANK SEGMENTADO PARA ESTATOR|Molas almofada (se aplicável) – Verificar / Substituir|50000
Tabela de verificações	14	|=D14&E14|0004|=D13+1|BLANK SEGMENTADO PARA ESTATOR|Molas almofada (se aplicável) – Verificar / Substituir|500000
Tabela de verificações	15	|=D15&E15|0004|=D14+1|BLANK SEGMENTADO PARA ESTATOR|Placa pisadora e extratora (se aplicável) - Verificar paralelismo e deformações - Retificar se necessário|500000
Tabela de verificações	16	|=D16&E16|0004|=D15+1|BLANK SEGMENTADO PARA ESTATOR|Parafusos, verificar condições das roscas e substituir de necessário|200000
Tabela de verificações	17	|=D17&E17|0004|=D16+1|BLANK SEGMENTADO PARA ESTATOR|Pinos - Verificar quanto a folga e deformações - Substituir se necessário|500000
Tabela de verificações	18	|=D18&E18|0004|=D17+1|BLANK SEGMENTADO PARA ESTATOR|Saídas de cavaco / peça - Verificar obstruções e rebarbas|25000
Tabela de verificações	19	|=D19&E19|0004|=D18+1|BLANK SEGMENTADO PARA ESTATOR|Molas - Placa pisadora – checar / Substituir|50000
Tabela de verificações	20	|=D20&E20|0004|=D19+1|BLANK SEGMENTADO PARA ESTATOR|Molas - Placa pisadora – checar / Substituir|500000
Tabela de verificações	21	|=D21&E21|0004|=D20+1|BLANK SEGMENTADO PARA ESTATOR|Sensores - Verificar ligações e funcionamento|25000
Tabela de verificações	22	|=D22&E22|0003|1|ESTAMPO UNICO PARA ESTATOR|Matrizes entalhes de solda - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	23	|=D23&E23|0003|=D22+1|ESTAMPO UNICO PARA ESTATOR|Punções entalhes de solda - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	24	|=D24&E24|0004|=D23+1|ESTAMPO UNICO PARA ESTATOR|Matrizes ranhuras - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	25	|=D25&E25|0005|=D24+1|ESTAMPO UNICO PARA ESTATOR|Punções ranhuras - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	26	|=D26&E26|0006|=D25+1|ESTAMPO UNICO PARA ESTATOR|Matriz corte externo - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	27	|=D27&E27|0007|=D26+1|ESTAMPO UNICO PARA ESTATOR|Punção corte externo - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	28	|=D28&E28|0008|=D27+1|ESTAMPO UNICO PARA ESTATOR|Matriz retalhadora - trincas, fixação, altura útil e afiação|25000
Tabela de verificações	29	|=D29&E29|0009|=D28+1|ESTAMPO UNICO PARA ESTATOR|Punção retalhador - trincas, fixação e altura útil e afiação|25000
Tabela de verificações	30	|=D30&E30|0010|=D29+1|ESTAMPO UNICO PARA ESTATOR|Colares de esferas - Verificar deformação esferas, sulcos e folgas|50000
Tabela de verificações	31	|=D31&E31|0011|=D30+1|ESTAMPO UNICO PARA ESTATOR|Colunas - Verificar estrias, alinhamento e folga|100000
Tabela de verificações	32	|=D32&E32|0012|=D31+1|ESTAMPO UNICO PARA ESTATOR|Buchas - Verificar estrias, alinhamento e folga|100000
Tabela de verificações	33	|=D33&E33|0013|=D32+1|ESTAMPO UNICO PARA ESTATOR|Folga de corte - Verificar com papel|25000
Tabela de verificações	34	|=D34&E34|0014|=D33+1|ESTAMPO UNICO PARA ESTATOR|Bases - Verificar paralelismo e condições das roscas e alojamentos, normalizar e retificar se necessário|500000
